個案研判日,縣市別,區域,新增確診人數,累計確診人數
2023-03-01,新竹縣,全區,455,280698
2023-03-01,桃園市,全區,1563,1103961
2023-03-01,澎湖縣,全區,35,27767
2023-03-01,花蓮縣,全區,178,146011
2023-03-01,苗栗縣,全區,354,226936
2023-03-01,連江縣,全區,7,4040
2023-03-01,金門縣,全區,33,26456
2023-03-01,雲林縣,全區,291,205974
2023-03-01,高雄市,全區,1834,1125789
2023-02-28,南投縣,全區,159,162416
2023-02-28,台中市,全區,1623,1230244
2023-02-28,台北市,全區,988,996889
2023-02-28,台南市,全區,1054,718513
2023-02-28,台東縣,全區,66,79242
2023-02-28,嘉義市,全區,126,96415
2023-02-28,嘉義縣,全區,182,150499
2023-02-28,基隆市,全區,203,180376
2023-02-28,境外移入,全區,153,55393
2023-02-28,宜蘭縣,全區,285,194664
2023-02-28,屏東縣,全區,341,276418
2023-02-28,彰化縣,全區,529,473524
2023-02-28,新北市,全區,2261,2072576
2023-02-28,新竹市,全區,264,225179
2023-02-28,新竹縣,全區,316,280243
2023-02-28,桃園市,全區,1310,1102398
2023-02-28,澎湖縣,全區,42,27732
2023-02-28,花蓮縣,全區,130,145833
2023-02-28,苗栗縣,全區,240,226582
2023-02-28,連江縣,全區,8,4033
2023-02-28,金門縣,全區,21,26423
2023-02-28,雲林縣,全區,290,205683
2023-02-28,高雄市,全區,1620,1123955
2023-02-27,南投縣,全區,164,162257
2023-02-27,台中市,全區,1157,1228621
2023-02-27,台北市,全區,805,995901
2023-02-27,台南市,全區,928,717459
2023-02-27,台東縣,全區,49,79176
2023-02-27,嘉義市,全區,108,96289
2023-02-27,嘉義縣,全區,147,150317
2023-02-27,基隆市,全區,172,180173
2023-02-27,境外移入,全區,141,55240
2023-02-27,宜蘭縣,全區,285,194379
2023-02-27,屏東縣,全區,283,276077
2023-02-27,彰化縣,全區,510,472995
2023-02-27,新北市,全區,1865,2070315
2023-02-27,新竹市,全區,208,224915
2023-02-27,新竹縣,全區,269,279927
2023-02-27,桃園市,全區,1015,1101088
2023-02-27,澎湖縣,全區,15,27690
2023-02-27,花蓮縣,全區,157,145703
2023-02-27,苗栗縣,全區,214,226342
2023-02-27,連江縣,全區,4,4025
2023-02-27,金門縣,全區,31,26402
2023-02-27,雲林縣,全區,233,205393
2023-02-27,高雄市,全區,1357,1122335
2023-02-26,南投縣,全區,132,162093
2023-02-26,台中市,全區,923,1227464
2023-02-26,台北市,全區,663,995096
2023-02-26,台南市,全區,624,716531
2023-02-26,台東縣,全區,35,79127
2023-02-26,嘉義市,全區,72,96181
2023-02-26,嘉義縣,全區,112,150170
2023-02-26,基隆市,全區,113,180001
2023-02-26,境外移入,全區,113,55099
2023-02-26,宜蘭縣,全區,161,194094
2023-02-26,屏東縣,全區,188,275794
2023-02-26,彰化縣,全區,385,472485
2023-02-26,新北市,全區,1498,2068450
2023-02-26,新竹市,全區,138,224707
2023-02-26,新竹縣,全區,223,279658
2023-02-26,桃園市,全區,1020,1100073
2023-02-26,澎湖縣,全區,25,27675
2023-02-26,花蓮縣,全區,104,145546
2023-02-26,苗栗縣,全區,166,226128
2023-02-26,連江縣,全區,3,4021
2023-02-26,金門縣,全區,13,26371
2023-02-26,雲林縣,全區,135,205160
2023-02-26,高雄市,全區,896,1120978
2023-02-25,南投縣,全區,208,161961
2023-02-25,台中市,全區,1513,1226541
2023-02-25,台北市,全區,1048,994433
2023-02-25,台南市,全區,1123,715907
2023-02-25,台東縣,全區,77,79092
2023-02-25,嘉義市,全區,134,96109
2023-02-25,嘉義縣,全區,169,150058
2023-02-25,基隆市,全區,253,179888
2023-02-25,境外移入,全區,209,54986
2023-02-25,宜蘭縣,全區,325,193933
2023-02-25,屏東縣,全區,294,275606
2023-02-25,彰化縣,全區,585,472100
2023-02-25,新北市,全區,2601,2066952
2023-02-25,新竹市,全區,320,224569
2023-02-25,新竹縣,全區,383,279435
2023-02-25,桃園市,全區,1439,1099053
2023-02-25,澎湖縣,全區,20,27650
2023-02-25,花蓮縣,全區,149,145442
2023-02-25,苗栗縣,全區,243,225962
2023-02-25,連江縣,全區,2,4018
2023-02-25,金門縣,全區,25,26358
2023-02-25,雲林縣,全區,272,205025
2023-02-25,高雄市,全區,1693,1120082
2023-02-24,南投縣,全區,202,161753
2023-02-24,台中市,全區,1542,1225028
2023-02-24,台北市,全區,1151,993385
2023-02-24,台南市,全區,1083,714784
2023-02-24,台東縣,全區,90,79015
2023-02-24,嘉義市,全區,135,95975
2023-02-24,嘉義縣,全區,196,149889
2023-02-24,基隆市,全區,235,179635
2023-02-24,境外移入,全區,195,54777
2023-02-24,宜蘭縣,全區,333,193608
2023-02-24,屏東縣,全區,336,275312
2023-02-24,彰化縣,全區,588,471515
2023-02-24,新北市,全區,2731,2064351
2023-02-24,新竹市,全區,317,224249
2023-02-24,新竹縣,全區,391,279052
2023-02-24,桃園市,全區,1517,1097614
2023-02-24,澎湖縣,全區,33,27630
2023-02-24,花蓮縣,全區,198,145293
2023-02-24,苗栗縣,全區,272,225719
2023-02-24,連江縣,全區,1,4016
2023-02-24,金門縣,全區,29,26333
2023-02-24,雲林縣,全區,296,204753
2023-02-24,高雄市,全區,1651,1118389
2023-02-23,南投縣,全區,193,161551
2023-02-23,台中市,全區,1478,1223486
2023-02-23,台北市,全區,1130,992234
2023-02-23,台南市,全區,1134,713701
2023-02-23,台東縣,全區,84,78925
2023-02-23,嘉義市,全區,131,95840
2023-02-23,嘉義縣,全區,203,149693
2023-02-23,基隆市,全區,221,179400
2023-02-23,境外移入,全區,223,54582
2023-02-23,宜蘭縣,全區,309,193275
2023-02-23,屏東縣,全區,380,274976
2023-02-23,彰化縣,全區,576,470927
2023-02-23,新北市,全區,2701,2061620
2023-02-23,新竹市,全區,281,223932
2023-02-23,新竹縣,全區,396,278661
2023-02-23,桃園市,全區,1585,1096097
2023-02-23,澎湖縣,全區,19,27597
2023-02-23,花蓮縣,全區,171,145095
2023-02-23,苗栗縣,全區,321,225447
2023-02-23,連江縣,全區,2,4015
2023-02-23,金門縣,全區,31,26304
2023-02-23,雲林縣,全區,275,204457
2023-02-23,高雄市,全區,1593,1116738
2023-02-22,南投縣,全區,208,161358
2023-02-22,台中市,全區,1590,1222008
2023-02-22,台北市,全區,1254,991104
2023-02-22,台南市,全區,1246,712567
2023-02-22,台東縣,全區,92,78841
2023-02-22,嘉義市,全區,134,95709
2023-02-22,嘉義縣,全區,210,149490
2023-02-22,基隆市,全區,236,179179
2023-02-22,境外移入,全區,225,54359
2023-02-22,宜蘭縣,全區,303,192966
2023-02-22,屏東縣,全區,367,274596
2023-02-22,彰化縣,全區,642,470351
2023-02-22,新北市,全區,2778,2058919
2023-02-22,新竹市,全區,337,223651
2023-02-22,新竹縣,全區,404,278265
2023-02-22,桃園市,全區,1714,1094512
2023-02-22,澎湖縣,全區,27,27578
2023-02-22,花蓮縣,全區,224,144924
2023-02-22,苗栗縣,全區,322,225126
2023-02-22,連江縣,全區,7,4013
2023-02-22,金門縣,全區,28,26273
2023-02-22,雲林縣,全區,257,204182
2023-02-22,高雄市,全區,1779,1115145
2023-02-21,南投縣,全區,226,161150
2023-02-21,台中市,全區,1821,1220418
2023-02-21,台北市,全區,1419,989850
2023-02-21,台南市,全區,1388,711321
2023-02-21,台東縣,全區,114,78749
2023-02-21,嘉義市,全區,148,95575
2023-02-21,嘉義縣,全區,215,149280
2023-02-21,基隆市,全區,314,178943
2023-02-21,境外移入,全區,254,54134
2023-02-21,宜蘭縣,全區,352,192663
2023-02-21,屏東縣,全區,430,274229
2023-02-21,彰化縣,全區,694,469709
2023-02-21,新北市,全區,3253,2056141
2023-02-21,新竹市,全區,415,223314
2023-02-21,新竹縣,全區,525,277861
2023-02-21,桃園市,全區,1988,1092798
2023-02-21,澎湖縣,全區,19,27551
2023-02-21,花蓮縣,全區,196,144700
2023-02-21,苗栗縣,全區,380,224804
2023-02-21,連江縣,全區,2,4006
2023-02-21,金門縣,全區,28,26245
2023-02-21,雲林縣,全區,327,203925
2023-02-21,高雄市,全區,1969,1113366
2023-02-20,南投縣,全區,277,160924
2023-02-20,台中市,全區,2007,1218597
2023-02-20,台北市,全區,1432,988431
2023-02-20,台南市,全區,1677,709933
2023-02-20,台東縣,全區,160,78635
2023-02-20,嘉義市,全區,211,95427
2023-02-20,嘉義縣,全區,279,149065
2023-02-20,基隆市,全區,241,178629
2023-02-20,境外移入,全區,249,53880
2023-02-20,宜蘭縣,全區,382,192311
2023-02-20,屏東縣,全區,472,273799
2023-02-20,彰化縣,全區,772,469015
2023-02-20,新北市,全區,3175,2052888
2023-02-20,新竹市,全區,384,222899
2023-02-20,新竹縣,全區,472,277336
2023-02-20,桃園市,全區,1761,1090810
2023-02-20,澎湖縣,全區,45,27532
2023-02-20,花蓮縣,全區,247,144504
2023-02-20,苗栗縣,全區,397,224424
2023-02-20,連江縣,全區,8,4004
2023-02-20,金門縣,全區,26,26217
2023-02-20,雲林縣,全區,430,203598
2023-02-20,高雄市,全區,2147,1111397
2023-02-19,南投縣,全區,193,160647
2023-02-19,台中市,全區,1382,1216590
2023-02-19,台北市,全區,997,986999
2023-02-19,台南市,全區,1020,708256
2023-02-19,台東縣,全區,66,78475
2023-02-19,嘉義市,全區,101,95216
2023-02-19,嘉義縣,全區,172,148786
2023-02-19,基隆市,全區,190,178388
2023-02-19,境外移入,全區,166,53631
2023-02-19,宜蘭縣,全區,242,191929
2023-02-19,屏東縣,全區,295,273327
2023-02-19,彰化縣,全區,561,468243
2023-02-19,新北市,全區,2216,2049713
2023-02-19,新竹市,全區,233,222515
2023-02-19,新竹縣,全區,380,276864
2023-02-19,桃園市,全區,1613,1089049
2023-02-19,澎湖縣,全區,35,27487
2023-02-19,花蓮縣,全區,157,144257
2023-02-19,苗栗縣,全區,309,224027
2023-02-19,連江縣,全區,2,3996
2023-02-19,金門縣,全區,25,26191
2023-02-19,雲林縣,全區,227,203168
2023-02-19,高雄市,全區,1474,1109250
2023-02-18,南投縣,全區,245,160454
2023-02-18,台中市,全區,1807,1215208
2023-02-18,台北市,全區,1316,986002
2023-02-18,台南市,全區,1393,707236
2023-02-18,台東縣,全區,106,78409
2023-02-18,嘉義市,全區,146,95115
2023-02-18,嘉義縣,全區,214,148614
2023-02-18,基隆市,全區,308,178198
2023-02-18,境外移入,全區,109,53465
2023-02-18,宜蘭縣,全區,302,191687
2023-02-18,屏東縣,全區,372,273032
2023-02-18,彰化縣,全區,683,467682
2023-02-18,新北市,全區,3048,2047497
2023-02-18,新竹市,全區,380,222282
2023-02-18,新竹縣,全區,500,276484
2023-02-18,桃園市,全區,2056,1087436
2023-02-18,澎湖縣,全區,19,27452
2023-02-18,花蓮縣,全區,241,144100
2023-02-18,苗栗縣,全區,331,223718
2023-02-18,連江縣,全區,6,3994
2023-02-18,金門縣,全區,32,26166
2023-02-18,雲林縣,全區,349,202941
2023-02-18,高雄市,全區,1904,1107776
2023-02-17,南投縣,全區,249,160209
2023-02-17,台中市,全區,1827,1213401
2023-02-17,台北市,全區,1259,984686
2023-02-17,台南市,全區,1338,705843
2023-02-17,台東縣,全區,95,78303
2023-02-17,嘉義市,全區,119,94969
2023-02-17,嘉義縣,全區,220,148400
2023-02-17,基隆市,全區,237,177890
2023-02-17,境外移入,全區,224,53356
2023-02-17,宜蘭縣,全區,346,191385
2023-02-17,屏東縣,全區,384,272660
2023-02-17,彰化縣,全區,725,466999
2023-02-17,新北市,全區,2674,2044449
2023-02-17,新竹市,全區,313,221902
2023-02-17,新竹縣,全區,474,275984
2023-02-17,桃園市,全區,1794,1085380
2023-02-17,澎湖縣,全區,27,27433
2023-02-17,花蓮縣,全區,234,143859
2023-02-17,苗栗縣,全區,315,223387
2023-02-17,連江縣,全區,5,3988
2023-02-17,金門縣,全區,38,26134
2023-02-17,雲林縣,全區,335,202592
2023-02-17,高雄市,全區,1812,1105872
2023-02-16,南投縣,全區,224,159960
2023-02-16,台中市,全區,1830,1211574
2023-02-16,台北市,全區,1338,983427
2023-02-16,台南市,全區,1271,704505
2023-02-16,台東縣,全區,119,78208
2023-02-16,嘉義市,全區,153,94850
2023-02-16,嘉義縣,全區,211,148180
2023-02-16,基隆市,全區,279,177653
2023-02-16,境外移入,全區,229,53132
2023-02-16,宜蘭縣,全區,321,191039
2023-02-16,屏東縣,全區,389,272276
2023-02-16,彰化縣,全區,675,466274
2023-02-16,新北市,全區,2892,2041775
2023-02-16,新竹市,全區,358,221589
2023-02-16,新竹縣,全區,443,275510
2023-02-16,桃園市,全區,1967,1083586
2023-02-16,澎湖縣,全區,22,27406
2023-02-16,花蓮縣,全區,191,143625
2023-02-16,苗栗縣,全區,358,223072
2023-02-16,連江縣,全區,5,3983
2023-02-16,金門縣,全區,31,26096
2023-02-16,雲林縣,全區,304,202257
2023-02-16,高雄市,全區,1811,1104060
2023-02-15,南投縣,全區,271,159736
2023-02-15,台中市,全區,1917,1209744
2023-02-15,台北市,全區,1413,982089
2023-02-15,台南市,全區,1391,703234
2023-02-15,台東縣,全區,108,78089
2023-02-15,嘉義市,全區,140,94697
2023-02-15,嘉義縣,全區,228,147969
2023-02-15,基隆市,全區,308,177374
2023-02-15,境外移入,全區,225,52903
2023-02-15,宜蘭縣,全區,367,190718
2023-02-15,屏東縣,全區,394,271887
2023-02-15,彰化縣,全區,771,465599
2023-02-15,新北市,全區,3216,2038883
2023-02-15,新竹市,全區,404,221231
2023-02-15,新竹縣,全區,476,275067
2023-02-15,桃園市,全區,2082,1081619
2023-02-15,澎湖縣,全區,28,27384
2023-02-15,花蓮縣,全區,200,143434
2023-02-15,苗栗縣,全區,334,222714
2023-02-15,連江縣,全區,12,3978
2023-02-15,金門縣,全區,39,26065
2023-02-15,雲林縣,全區,359,201953
2023-02-15,高雄市,全區,2059,1102249
2023-02-14,南投縣,全區,304,159465
2023-02-14,台中市,全區,2454,1207827
2023-02-14,台北市,全區,1789,980676
2023-02-14,台南市,全區,1573,701843
2023-02-14,台東縣,全區,127,77981
2023-02-14,嘉義市,全區,173,94557
2023-02-14,嘉義縣,全區,225,147741
2023-02-14,基隆市,全區,340,177066
2023-02-14,境外移入,全區,298,52678
2023-02-14,宜蘭縣,全區,339,190351
2023-02-14,屏東縣,全區,510,271493
2023-02-14,彰化縣,全區,817,464828
2023-02-14,新北市,全區,3843,2035667
2023-02-14,新竹市,全區,487,220827
2023-02-14,新竹縣,全區,545,274591
2023-02-14,桃園市,全區,2538,1079537
2023-02-14,澎湖縣,全區,20,27356
2023-02-14,花蓮縣,全區,340,143234
2023-02-14,苗栗縣,全區,459,222380
2023-02-14,連江縣,全區,4,3966
2023-02-14,金門縣,全區,34,26026
2023-02-14,雲林縣,全區,408,201594
2023-02-14,高雄市,全區,2226,1100190
